dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Fri,2023-08-11,21:00 ,Nice,1.2,1–1,1.3,Lille,"29,436",Stade de Nice,Benoît Bastien,Ligue-1,1,Francesco Farioli,Nice,4-3-3,Marcin Bułka,pl POL,23-311,90,5,1,4,80.0,2.1,7,10,70.0,52,10,15.4,27.6,4,50.0,40.0,14,1,7.1,0,8.8
Fri,2023-08-11,21:00 ,Nice,1.2,1–1,1.3,Lille,"29,436",Stade de Nice,Benoît Bastien,Ligue-1,1,Paulo Fonseca,Lille,4-2-3-1,Lucas Chevalier,fr FRA,21-278,90,3,1,2,66.7,1.5,3,10,30.0,47,2,17.0,26.5,4,50.0,49.0,5,0,0.0,3,19.3
Sat,2023-08-12,17:00 ,Marseille,1.0,2–1,0.8,Reims,"63,787",Orange Vélodrome,Eric Wattellier,Ligue-1,1,Marcelino,Marseille,4-4-2,Pau López,es ESP,28-242,90,4,1,3,75.0,0.7,7,21,33.3,35,2,45.7,36.1,6,83.3,55.8,21,1,4.8,0,8.0
Sat,2023-08-12,17:00 ,Marseille,1.0,2–1,0.8,Reims,"63,787",Orange Vélodrome,Eric Wattellier,Ligue-1,1,Will Still,Reims,4-2-3-1,Yehvann Diouf,fr FRA,23-269,90,4,2,2,50.0,1.2,2,4,50.0,29,7,13.8,26.8,6,0.0,20.0,19,1,5.3,1,14.4
Sat,2023-08-12,21:00 ,Paris S-G,1.2,0–0,0.1,Lorient,"47,000",Parc des Princes,Bastien Dechepy,Ligue-1,1,Luis Enrique,Paris S-G,4-3-3,Gianluigi Donnarumma,it ITA,24-168,90,0,0,0,,0.0,0,0,,10,0,0.0,21.5,3,0.0,24.0,2,0,0.0,0,
Sat,2023-08-12,21:00 ,Paris S-G,1.2,0–0,0.1,Lorient,"47,000",Parc des Princes,Bastien Dechepy,Ligue-1,1,Régis Le Bris,Lorient,5-4-1,Yvon Mvogo,ch SUI,29-067,90,4,0,4,100.0,0.5,5,15,33.3,21,4,38.1,34.9,11,63.6,43.7,29,1,3.4,0,4.0
Sun,2023-08-13,13:00 ,Brest,2.5,3–2,0.7,Lens,"15,085",Stade Francis-Le Blé,Jérémie Pignard,Ligue-1,1,Eric Roy,Brest,4-2-3-1,Marco Bizot,nl NED,32-156,90,2,2,0,0.0,0.8,9,15,60.0,25,5,40.0,37.5,7,71.4,42.9,14,2,14.3,2,14.0
Sun,2023-08-13,13:00 ,Brest,2.5,3–2,0.7,Lens,"15,085",Stade Francis-Le Blé,Jérémie Pignard,Ligue-1,1,Franck Haise,Lens,3-4-3,Brice Samba,fr FRA,29-110,90,8,3,5,87.5,3.8,5,14,35.7,28,6,42.9,33.4,7,28.6,26.7,23,1,4.3,0,9.0
Sun,2023-08-13,15:00 ,Nantes,1.1,1–2,1.1,Toulouse,"30,578",Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Ligue-1,1,Pierre Aristouy,Nantes,3-4-1-2,Alban Lafont,fr FRA,24-202,66,4,1,3,75.0,1.4,2,9,22.2,26,4,26.9,30.5,5,40.0,32.0,8,2,25.0,1,10.5
Sun,2023-08-13,15:00 ,Nantes,1.1,1–2,1.1,Toulouse,"30,578",Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Ligue-1,1,Pierre Aristouy,Nantes,3-4-1-2,Denis Petrić,rs SRB,35-081,24,1,1,0,0.0,0.3,1,2,50.0,7,2,28.6,30.7,0,,,4,0,0.0,0,
Sun,2023-08-13,15:00 ,Nantes,1.1,1–2,1.1,Toulouse,"30,578",Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Ligue-1,1,Carles Martínez,Toulouse,4-3-3,Guillaume Restes,fr FRA,18-155,90,4,1,3,100.0,1.2,5,9,55.6,20,0,40.0,33.9,3,33.3,29.7,14,0,0.0,0,5.0
Sun,2023-08-13,15:00 ,Clermont Foot,1.8,2–4,2.5,Monaco,"10,453",Stade Gabriel Montpied,François Letexier,Ligue-1,1,Pascal Gastien,Clermont Foot,3-4-3,Mory Diaw,sn SEN,30-052,90,8,4,4,50.0,3.4,4,13,30.8,49,4,26.5,31.6,2,0.0,6.0,5,0,0.0,0,20.0
Sun,2023-08-13,15:00 ,Clermont Foot,1.8,2–4,2.5,Monaco,"10,453",Stade Gabriel Montpied,François Letexier,Ligue-1,1,Adi Hütter,Monaco,3-4-3,Philipp Köhn,ch SUI,25-133,90,7,2,5,71.4,1.4,5,16,31.3,28,9,32.1,31.3,8,87.5,55.0,15,2,13.3,1,8.3
Sun,2023-08-13,15:00 ,Montpellier,1.6,2–2,1.0,Le Havre,"15,852",Stade de la Mosson-Mondial 98,Clément Turpin,Ligue-1,1,Michel Der Zakarian,Montpellier,4-2-3-1,Benjamin Lecomte,fr FRA,32-109,90,4,2,2,50.0,1.2,6,17,35.3,24,4,45.8,37.6,12,50.0,42.1,9,1,11.1,0,6.0
Sun,2023-08-13,15:00 ,Montpellier,1.6,2–2,1.0,Le Havre,"15,852",Stade de la Mosson-Mondial 98,Clément Turpin,Ligue-1,1,Luka Elsner,Le Havre,5-3-2,Arthur Desmas,fr FRA,29-128,90,5,2,3,60.0,1.4,4,12,33.3,15,5,33.3,34.3,8,87.5,57.3,15,1,6.7,1,12.3
Sun,2023-08-13,17:05 ,Rennes,4.0,5–1,0.4,Metz,"26,065",Roazhon Park,Jeremy Stinat,Ligue-1,1,Bruno Génésio,Rennes,4-3-3,Steve Mandanda,fr FRA,38-138,90,3,1,2,66.7,0.9,1,4,25.0,44,3,9.1,22.8,3,0.0,14.3,14,0,0.0,1,14.0
Sun,2023-08-13,17:05 ,Rennes,4.0,5–1,0.4,Metz,"26,065",Roazhon Park,Jeremy Stinat,Ligue-1,1,László Bölöni,Metz,4-2-3-1,Alexandre Oukidja,dz ALG,35-025,90,14,5,9,64.3,4.1,7,18,38.9,16,3,62.5,43.3,8,100.0,63.5,14,1,7.1,0,5.3
Sun,2023-08-13,20:45 ,Strasbourg,1.3,2–1,1.7,Lyon,"25,410",Stade de la Meinau,Jérôme Brisard,Ligue-1,1,Patrick Vieira,Strasbourg,3-5-2,Matz Sels,be BEL,31-168,90,7,1,6,85.7,1.8,7,17,41.2,24,5,50.0,38.7,9,55.6,47.6,15,0,0.0,0,4.5
Sun,2023-08-13,20:45 ,Strasbourg,1.3,2–1,1.7,Lyon,"25,410",Stade de la Meinau,Jérôme Brisard,Ligue-1,1,Laurent Blanc,Lyon,4-2-3-1,Rémy Riou,fr FRA,36-007,90,2,2,0,0.0,0.9,1,5,20.0,28,4,10.7,23.5,7,28.6,33.3,8,2,25.0,1,11.3
Fri,2023-08-18,21:00 ,Metz,0.5,2–2,1.9,Marseille,"26,661",Stade Saint-Symphorien,Jérôme Brisard,Ligue-1,2,László Bölöni,Metz,4-1-4-1,Alexandre Oukidja,dz ALG,35-030,90,5,2,3,60.0,0.9,5,26,19.2,19,2,52.6,40.3,17,94.1,63.8,26,1,3.8,0,7.0
Fri,2023-08-18,21:00 ,Metz,0.5,2–2,1.9,Marseille,"26,661",Stade Saint-Symphorien,Jérôme Brisard,Ligue-1,2,Marcelino,Marseille,4-4-2,Pau López,es ESP,28-248,90,5,2,3,60.0,1.3,2,5,40.0,19,1,10.5,25.4,8,37.5,36.1,12,0,0.0,1,13.5
Sat,2023-08-19,19:00 ,Lyon,0.4,1–4,2.9,Montpellier,"42,576",Groupama Stadium,Mathieu Vernice,Ligue-1,2,Laurent Blanc,Lyon,4-2-3-1,Rémy Riou,fr FRA,36-013,90,8,4,4,50.0,3.1,2,3,66.7,19,3,15.8,26.2,5,0.0,20.4,7,0,0.0,1,14.8
Sat,2023-08-19,19:00 ,Lyon,0.4,1–4,2.9,Montpellier,"42,576",Groupama Stadium,Mathieu Vernice,Ligue-1,2,Michel Der Zakarian,Montpellier,4-2-3-1,Benjamin Lecomte,fr FRA,32-115,90,3,1,2,66.7,0.7,6,20,30.0,32,3,50.0,39.2,5,80.0,45.8,10,0,0.0,0,15.0
Sat,2023-08-19,21:00 ,Toulouse,1.2,1–1,2.1,Paris S-G,"27,332",Stadium Municipal,Thomas Léonard,Ligue-1,2,Carles Martínez,Toulouse,3-4-3,Guillaume Restes,fr FRA,18-161,90,3,1,2,100.0,1.1,5,16,31.3,22,3,59.1,40.2,3,100.0,63.0,13,0,0.0,0,10.0
Sat,2023-08-19,21:00 ,Toulouse,1.2,1–1,2.1,Paris S-G,"27,332",Stadium Municipal,Thomas Léonard,Ligue-1,2,Luis Enrique,Paris S-G,4-3-3,Gianluigi Donnarumma,it ITA,24-175,90,2,1,1,100.0,1.0,3,3,100.0,17,3,11.8,25.4,6,16.7,25.2,6,0,0.0,0,7.0
Sun,2023-08-20,13:00 ,Lille,2.2,2–0,1.1,Nantes,"34,356",Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,Ligue-1,2,Paulo Fonseca,Lille,4-2-3-1,Lucas Chevalier,fr FRA,21-287,90,4,0,4,100.0,1.1,0,4,0.0,21,5,9.5,19.6,3,66.7,46.3,12,0,0.0,3,17.8
Sun,2023-08-20,13:00 ,Lille,2.2,2–0,1.1,Nantes,"34,356",Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,Ligue-1,2,Pierre Aristouy,Nantes,3-4-3,Rémy Descamps,fr FRA,27-056,90,7,2,5,71.4,2.6,10,17,58.8,22,6,31.8,38.6,13,76.9,50.3,17,2,11.8,0,6.6
Sun,2023-08-20,15:00 ,Reims,2.4,2–0,0.4,Clermont Foot,"12,887",Stade Auguste-Delaune,Romain Lissorgue,Ligue-1,2,Will Still,Reims,4-2-3-1,Yehvann Diouf,fr FRA,23-277,90,4,0,4,100.0,1.1,4,17,23.5,35,5,31.4,32.2,7,85.7,64.6,19,0,0.0,1,13.3
Sun,2023-08-20,15:00 ,Reims,2.4,2–0,0.4,Clermont Foot,"12,887",Stade Auguste-Delaune,Romain Lissorgue,Ligue-1,2,Pascal Gastien,Clermont Foot,3-4-3,Mory Diaw,sn SEN,30-059,90,4,2,2,50.0,2.8,6,19,31.6,44,7,43.2,37.1,3,0.0,16.3,10,2,20.0,3,17.0
Sun,2023-08-20,15:00 ,Le Havre,1.2,1–2,1.1,Brest,"19,574",Stade Océane,Florent Batta,Ligue-1,2,Luka Elsner,Le Havre,5-3-2,Arthur Desmas,fr FRA,29-135,90,5,2,3,60.0,1.7,4,10,40.0,25,4,40.0,30.5,5,0.0,18.0,13,1,7.7,0,7.7
Sun,2023-08-20,15:00 ,Le Havre,1.2,1–2,1.1,Brest,"19,574",Stade Océane,Florent Batta,Ligue-1,2,Eric Roy,Brest,4-3-3,Marco Bizot,nl NED,32-163,90,7,1,6,85.7,1.5,12,30,40.0,28,2,71.4,46.6,11,90.9,57.9,13,0,0.0,1,24.5
Sun,2023-08-20,15:00 ,Lorient,0.8,1–1,1.7,Nice,"15,848",Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Ligue-1,2,Régis Le Bris,Lorient,3-4-3,Yvon Mvogo,ch SUI,29-075,90,8,1,7,87.5,1.3,3,13,23.1,34,8,23.5,31.3,6,83.3,55.7,19,2,10.5,0,6.0
Sun,2023-08-20,15:00 ,Lorient,0.8,1–1,1.7,Nice,"15,848",Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Ligue-1,2,Francesco Farioli,Nice,4-3-3,Marcin Bułka,pl POL,23-320,90,2,1,1,50.0,1.1,1,1,100.0,20,2,5.0,22.7,3,0.0,13.3,5,0,0.0,2,18.0
Sun,2023-08-20,19:00 ,Monaco,0.9,3–0,0.5,Strasbourg,"10,100",Stade Louis II.,Ruddy Buquet,Ligue-1,2,Adi Hütter,Monaco,3-4-3,Philipp Köhn,ch SUI,25-140,90,1,0,1,100.0,0.0,4,18,22.2,30,4,56.7,40.9,3,33.3,41.7,11,3,27.3,0,8.3
Sun,2023-08-20,19:00 ,Monaco,0.9,3–0,0.5,Strasbourg,"10,100",Stade Louis II.,Ruddy Buquet,Ligue-1,2,Patrick Vieira,Strasbourg,3-5-2,Matz Sels,be BEL,31-175,90,4,3,1,25.0,1.3,5,15,33.3,26,2,57.7,37.7,2,0.0,15.5,8,1,12.5,1,19.7
Sun,2023-08-20,20:45 ,Lens,1.0,1–1,1.4,Rennes,"37,233",Stade Bollaert-Delelis,Benoît Millot,Ligue-1,2,Franck Haise,Lens,3-4-3,Brice Samba,fr FRA,29-117,90,5,1,4,100.0,1.9,6,11,54.5,23,3,43.5,33.5,3,33.3,38.3,0,0,,0,
Sun,2023-08-20,20:45 ,Lens,1.0,1–1,1.4,Rennes,"37,233",Stade Bollaert-Delelis,Benoît Millot,Ligue-1,2,Bruno Génésio,Rennes,4-3-3,Steve Mandanda,fr FRA,38-145,90,4,1,3,75.0,0.7,5,18,27.8,33,3,33.3,33.6,9,77.8,51.7,26,1,3.8,1,17.0
Fri,2023-08-25,21:00 ,Nantes,1.0,3–3,3.3,Monaco,"28,429",Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,Ligue-1,3,Pierre Aristouy,Nantes,3-4-3,Rémy Descamps,fr FRA,27-061,90,9,3,6,66.7,3.4,12,29,41.4,29,7,51.7,40.2,16,87.5,57.2,17,3,17.6,0,8.3
Fri,2023-08-25,21:00 ,Nantes,1.0,3–3,3.3,Monaco,"28,429",Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,Ligue-1,3,Adi Hütter,Monaco,3-4-3,Philipp Köhn,ch SUI,25-145,90,3,3,0,33.3,1.6,0,2,0.0,17,2,5.9,23.4,3,33.3,31.3,5,1,20.0,0,6.5
Sat,2023-08-26,19:00 ,Marseille,2.9,2–0,1.5,Brest,"63,592",Orange Vélodrome,Jeremy Stinat,Ligue-1,3,Marcelino,Marseille,4-4-2,Pau López,es ESP,28-256,90,6,0,6,100.0,1.7,3,9,33.3,36,8,11.1,25.6,12,41.7,38.8,27,0,0.0,0,6.0
Sat,2023-08-26,19:00 ,Marseille,2.9,2–0,1.5,Brest,"63,592",Orange Vélodrome,Jeremy Stinat,Ligue-1,3,Eric Roy,Brest,4-3-3,Marco Bizot,nl NED,32-169,90,6,2,4,66.7,2.7,5,11,45.5,28,7,28.6,29.6,7,42.9,38.3,12,1,8.3,1,9.9
Sat,2023-08-26,21:00 ,Paris S-G,1.5,3–1,0.5,Lens,"47,864",Parc des Princes,François Letexier,Ligue-1,3,Luis Enrique,Paris S-G,4-4-2,Gianluigi Donnarumma,it ITA,24-182,90,4,1,3,75.0,1.1,2,8,25.0,45,6,15.6,26.3,8,12.5,19.4,16,1,6.3,0,8.8
Sat,2023-08-26,21:00 ,Paris S-G,1.5,3–1,0.5,Lens,"47,864",Parc des Princes,François Letexier,Ligue-1,3,Franck Haise,Lens,3-4-3,Brice Samba,fr FRA,29-123,90,6,3,3,50.0,1.3,5,10,50.0,12,1,66.7,41.6,5,40.0,29.4,5,0,0.0,0,1.0
Sun,2023-08-27,13:00 ,Rennes,3.2,2–2,0.4,Le Havre,"28,311",Roazhon Park,Eric Wattellier,Ligue-1,3,Bruno Génésio,Rennes,4-1-4-1,Steve Mandanda,fr FRA,38-152,90,3,2,1,33.3,0.8,2,6,33.3,54,9,11.1,24.5,2,0.0,24.5,8,1,12.5,2,21.0
Sun,2023-08-27,13:00 ,Rennes,3.2,2–2,0.4,Le Havre,"28,311",Roazhon Park,Eric Wattellier,Ligue-1,3,Luka Elsner,Le Havre,4-2-3-1,Arthur Desmas,fr FRA,29-142,90,7,2,5,71.4,2.5,5,16,31.3,11,0,72.7,45.3,8,100.0,60.9,17,0,0.0,0,
Sun,2023-08-27,15:00 ,Strasbourg,3.4,2–0,0.3,Toulouse,"25,090",Stade de la Meinau,Benoît Bastien,Ligue-1,3,Patrick Vieira,Strasbourg,3-4-3,Matz Sels,be BEL,31-182,90,1,0,1,100.0,0.4,4,8,50.0,29,5,20.7,30.1,4,50.0,37.0,12,1,8.3,3,17.4
Sun,2023-08-27,15:00 ,Strasbourg,3.4,2–0,0.3,Toulouse,"25,090",Stade de la Meinau,Benoît Bastien,Ligue-1,3,Carles Martínez,Toulouse,4-4-2,Guillaume Restes,fr FRA,18-169,90,3,2,1,33.3,1.7,2,5,40.0,22,3,13.6,25.2,8,25.0,29.5,12,0,0.0,0,6.3
Sun,2023-08-27,15:00 ,Clermont Foot,0.7,0–1,1.1,Metz,"9,146",Stade Gabriel Montpied,Gaël Angoula,Ligue-1,3,Pascal Gastien,Clermont Foot,3-4-3,Mory Diaw,sn SEN,30-066,90,5,1,4,80.0,0.8,3,4,75.0,24,5,12.5,24.5,8,12.5,31.1,6,0,0.0,2,19.7
Sun,2023-08-27,15:00 ,Clermont Foot,0.7,0–1,1.1,Metz,"9,146",Stade Gabriel Montpied,Gaël Angoula,Ligue-1,3,László Bölöni,Metz,4-3-3,Alexandre Oukidja,dz ALG,35-039,90,4,0,4,100.0,0.3,9,18,50.0,17,4,52.9,44.0,12,75.0,49.6,22,0,0.0,2,11.8
Sun,2023-08-27,15:00 ,Montpellier,0.9,1–3,1.4,Reims,"14,476",Stade de la Mosson-Mondial 98,Marc Bollengier,Ligue-1,3,Michel Der Zakarian,Montpellier,4-2-3-1,Benjamin Lecomte,fr FRA,32-123,90,6,3,2,50.0,2.1,4,14,28.6,21,3,52.4,40.0,7,42.9,37.6,12,0,0.0,0,9.5
Sun,2023-08-27,15:00 ,Montpellier,0.9,1–3,1.4,Reims,"14,476",Stade de la Mosson-Mondial 98,Marc Bollengier,Ligue-1,3,Will Still,Reims,4-3-3,Yehvann Diouf,fr FRA,23-284,90,3,1,2,66.7,1.1,7,19,36.8,27,8,44.4,37.9,7,100.0,60.0,19,4,21.1,0,8.5
Sun,2023-08-27,17:05 ,Lorient,1.6,4–1,1.1,Lille,"15,101",Stade Yves Allainmat - Le Moustoir,Willy Delajod,Ligue-1,3,Régis Le Bris,Lorient,3-4-3,Yvon Mvogo,ch SUI,29-082,90,7,1,6,85.7,1.9,8,17,47.1,31,4,45.2,39.0,6,50.0,37.7,23,1,4.3,0,4.5
Sun,2023-08-27,17:05 ,Lorient,1.6,4–1,1.1,Lille,"15,101",Stade Yves Allainmat - Le Moustoir,Willy Delajod,Ligue-1,3,Paulo Fonseca,Lille,4-2-3-1,Lucas Chevalier,fr FRA,21-294,90,6,4,2,33.3,2.0,1,2,50.0,21,2,9.5,20.1,2,0.0,12.5,7,0,0.0,1,14.4
Sun,2023-08-27,20:45 ,Nice,1.9,0–0,0.2,Lyon,"28,033",Stade de Nice,Bastien Dechepy,Ligue-1,3,Francesco Farioli,Nice,4-3-3,Marcin Bułka,pl POL,23-327,90,1,0,1,100.0,0.0,0,0,,24,1,0.0,18.7,2,0.0,21.5,4,0,0.0,0,9.5
Sun,2023-08-27,20:45 ,Nice,1.9,0–0,0.2,Lyon,"28,033",Stade de Nice,Bastien Dechepy,Ligue-1,3,Laurent Blanc,Lyon,4-2-3-1,Rémy Riou,fr FRA,36-021,90,4,0,4,100.0,0.7,2,16,12.5,34,6,20.6,28.1,11,81.8,51.0,17,1,5.9,1,14.0
Fri,2023-09-01,21:00 ,Nantes,0.9,1–1,2.6,Marseille,"34,600",Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,Ligue-1,4,Pierre Aristouy,Nantes,3-4-3,Rémy Descamps,fr FRA,27-068,90,9,1,8,88.9,1.5,7,28,25.0,31,4,51.6,38.9,15,80.0,50.9,26,2,7.7,0,10.0
Fri,2023-09-01,21:00 ,Nantes,0.9,1–1,2.6,Marseille,"34,600",Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,Ligue-1,4,Marcelino,Marseille,4-4-2,Pau López,es ESP,28-262,90,2,1,1,50.0,0.6,0,2,0.0,23,5,8.7,23.3,2,0.0,6.0,10,0,0.0,0,14.0
Sat,2023-09-02,17:00 ,Brest,1.4,0–0,0.3,Rennes,"15,021",Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Ligue-1,4,Eric Roy,Brest,4-2-3-1,Marco Bizot,nl NED,32-176,90,3,0,3,100.0,0.5,4,13,30.8,27,0,40.7,35.3,4,50.0,50.5,9,0,0.0,0,11.3
Sat,2023-09-02,17:00 ,Brest,1.4,0–0,0.3,Rennes,"15,021",Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Ligue-1,4,Bruno Génésio,Rennes,4-3-3,Steve Mandanda,fr FRA,38-158,90,2,0,2,100.0,0.2,2,9,22.2,22,5,27.3,28.0,10,30.0,29.6,19,1,5.3,3,19.5
Sat,2023-09-02,21:00 ,Monaco,0.9,3–0,0.6,Lens,"9,600",Stade Louis II.,Willy Delajod,Ligue-1,4,Adi Hütter,Monaco,3-4-3,Philipp Köhn,ch SUI,25-153,90,1,0,1,100.0,0.5,4,18,22.2,38,5,36.8,36.8,9,44.4,39.3,11,1,9.1,3,15.9
Sat,2023-09-02,21:00 ,Monaco,0.9,3–0,0.6,Lens,"9,600",Stade Louis II.,Willy Delajod,Ligue-1,4,Franck Haise,Lens,3-4-3,Brice Samba,fr FRA,29-130,90,6,3,3,50.0,1.7,3,9,33.3,29,2,31.0,29.0,6,0.0,19.0,7,0,0.0,2,25.5
Sun,2023-09-03,13:00 ,Toulouse,0.6,2–2,1.8,Clermont Foot,"28,285",Stadium Municipal,Florent Batta,Ligue-1,4,Carles Martínez,Toulouse,3-4-1-2,Guillaume Restes,fr FRA,18-176,90,2,2,0,50.0,1.7,3,11,27.3,28,3,28.6,27.6,4,75.0,48.0,21,0,0.0,1,16.0
Sun,2023-09-03,13:00 ,Toulouse,0.6,2–2,1.8,Clermont Foot,"28,285",Stadium Municipal,Florent Batta,Ligue-1,4,Pascal Gastien,Clermont Foot,3-4-3,Mory Diaw,sn SEN,30-073,90,5,2,3,60.0,1.4,2,7,28.6,28,2,25.0,28.1,3,0.0,11.7,3,1,33.3,3,25.3
Sun,2023-09-03,15:00 ,Lille,1.2,1–0,0.3,Montpellier,"35,298",Decathlon Arena - Stade Pierre-Mauroy,Benoît Millot,Ligue-1,4,Paulo Fonseca,Lille,3-4-3,Lucas Chevalier,fr FRA,21-301,90,4,0,4,100.0,1.0,6,18,33.3,45,5,31.1,31.5,4,100.0,60.3,15,1,6.7,0,10.0
Sun,2023-09-03,15:00 ,Lille,1.2,1–0,0.3,Montpellier,"35,298",Decathlon Arena - Stade Pierre-Mauroy,Benoît Millot,Ligue-1,4,Michel Der Zakarian,Montpellier,4-2-3-1,Benjamin Lecomte,fr FRA,32-130,90,6,1,5,83.3,2.0,4,15,26.7,24,2,50.0,41.0,7,42.9,44.4,6,0,0.0,0,
Sun,2023-09-03,15:00 ,Le Havre,2.0,3–0,0.7,Lorient,"180,707",Stade Océane,Romain Lissorgue,Ligue-1,4,Luka Elsner,Le Havre,4-2-3-1,Arthur Desmas,fr FRA,29-149,90,2,0,2,100.0,0.6,3,9,33.3,20,6,45.0,38.1,3,0.0,9.3,12,3,25.0,1,11.0
Sun,2023-09-03,15:00 ,Le Havre,2.0,3–0,0.7,Lorient,"180,707",Stade Océane,Romain Lissorgue,Ligue-1,4,Régis Le Bris,Lorient,3-4-3,Yvon Mvogo,ch SUI,29-089,90,6,3,3,50.0,1.5,7,11,63.6,27,4,25.9,28.9,8,50.0,34.0,19,1,5.3,0,8.7
Sun,2023-09-03,15:00 ,Metz,1.1,2–2,0.7,Reims,"24,272",Stade Saint-Symphorien,Mathieu Vernice,Ligue-1,4,László Bölöni,Metz,4-2-3-1,Alexandre Oukidja,dz ALG,35-046,90,2,2,0,0.0,0.4,6,16,37.5,22,5,40.9,38.3,8,87.5,58.0,15,2,13.3,0,6.3
Sun,2023-09-03,15:00 ,Metz,1.1,2–2,0.7,Reims,"24,272",Stade Saint-Symphorien,Mathieu Vernice,Ligue-1,4,Will Still,Reims,4-3-3,Yehvann Diouf,fr FRA,23-291,90,4,2,2,50.0,1.3,2,4,50.0,28,4,14.3,26.0,1,0.0,16.0,13,0,0.0,1,18.0
